v7,v8,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,bald,iperhver,ipisco,troende
2,1951,2,2,2,2,1,2,2,2,2,2,2,2,2,2,48,4,22,3
1,1969,2,2,2,2,1,2,1,2,2,2,2,2,2,2,30,4,1,1
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,3,24,1
2,1944,1,2,2,1,2,2,2,2,2,2,1,2,2,2,55,0,51,1
2,1978,2,2,2,2,2,2,2,2,2,2,1,2,2,2,21,0,51,2
2,1939,1,2,2,1,2,2,2,2,2,2,2,1,2,2,60,1,41,1
1,1967,1,1,1,1,1,1,2,1,1,1,2,1,1,1,32,3,51,1
1,1978,2,2,2,1,2,2,2,2,2,2,1,1,2,2,21,4,100,1
1,1941,1,2,2,2,2,2,2,2,2,2,1,2,2,2,58,1,12,3
1,1960,2,2,2,2,2,2,2,2,1,2,1,2,2,2,39,0,42,3
2,1952,1,2,2,2,2,2,2,2,2,2,2,2,2,2,47,1,34,1
2,1968,2,2,2,1,1,2,2,2,2,2,1,2,2,1,31,4,41,2
2,1967,1,2,2,2,2,2,2,2,2,2,1,2,2,2,32,4,100,1
2,1973,2,2,2,2,2,2,2,2,2,2,1,2,2,2,26,4,100,2
1,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,0,100,1
2,1972,2,2,2,1,2,2,2,2,2,1,1,1,2,2,27,0,100,1
2,1960,2,1,2,2,2,2,2,2,2,2,1,2,2,1,39,0,51,1
2,1952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47,2,51,2
1,1968,2,2,2,1,2,2,2,2,2,2,1,2,1,2,31,1,34,3
2,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,4,100,1
2,1974,2,2,2,1,2,2,2,2,2,2,1,2,2,2,25,4,100,3
1,1973,2,2,2,1,2,2,1,2,2,2,2,2,2,2,26,4,21,3
2,1942,1,1,2,1,2,1,1,1,1,2,1,2,2,1,57,1,51,1
1,1971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,1,72,2
2,1974,2,2,2,2,2,1,2,2,2,2,2,2,2,2,25,1,100,1
2,1957,1,1,2,1,1,1,1,1,1,2,1,2,2,2,42,2,34,2
1,1973,2,2,2,1,2,2,2,2,2,2,1,2,2,2,26,0,100,1
1,1959,2,2,2,2,1,2,2,2,2,2,2,2,2,2,40,4,23,1
1,1947,1,2,2,1,2,2,1,2,2,2,1,2,2,2,52,0,93,1
1,1979,1,2,2,2,2,2,2,2,2,1,1,2,2,2,20,0,100,2
2,1969,2,2,2,2,2,2,2,2,2,2,1,2,2,2,30,3,32,1
2,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,4,24,1
2,1930,1,1,1,1,1,1,1,1,1,1,1,2,2,1,69,0,100,1
2,1951,2,2,2,1,2,2,2,1,1,2,1,2,2,2,48,0,31,1
2,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59,1,41,1
1,1955,1,2,2,1,1,2,2,2,2,2,1,2,2,2,44,3,31,1
2,1966,1,2,2,1,2,2,1,2,2,1,1,2,2,2,33,4,100,1
2,1970,1,2,2,2,2,2,2,2,2,2,1,2,2,2,29,3,34,1
1,1944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,3,72,1
2,1980,2,2,2,2,2,2,2,2,2,2,1,2,2,2,19,0,100,1
2,1964,2,2,2,2,1,2,2,2,2,2,1,2,2,2,35,3,100,3
2,1962,1,2,2,2,2,2,2,2,2,2,1,2,2,2,37,3,34,1
2,1933,1,2,2,1,2,2,2,2,2,1,1,2,2,2,66,4,41,2
1,1930,1,2,2,1,2,2,1,2,2,1,1,2,2,2,69,1,12,1
2,1957,2,2,2,2,2,1,2,2,2,2,2,2,2,1,42,3,31,1
2,1979,2,2,2,1,2,2,2,2,2,2,1,2,2,2,20,0,33,1
1,1961,2,2,2,2,1,2,2,2,2,2,1,2,2,2,38,1,61,2
1,1950,1,2,2,1,2,2,2,2,2,2,1,2,2,2,49,1,13,1
2,1935,2,2,1,1,1,2,1,2,2,2,1,2,2,2,64,4,41,2
2,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,1,52,1
2,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,0,51,2
2,1967,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,1,41,1
2,1956,2,2,2,1,2,2,2,2,2,2,1,2,2,2,43,3,32,1
1,1939,2,2,2,2,2,2,2,2,2,2,1,2,2,2,60,3,74,3
2,1976,1,2,2,1,2,2,2,2,1,2,1,2,2,2,23,0,100,1
1,1969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,3,93,1
1,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,1,31,2
2,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,2,51,1
2,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,3,33,1
2,1951,2,2,2,2,2,2,2,1,1,2,1,2,2,1,48,0,51,1
1,1970,1,2,1,1,1,2,1,1,2,2,1,1,2,1,29,1,34,2
1,1974,2,2,2,1,2,2,2,2,2,2,1,2,2,2,25,3,34,2
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,4,100,1
1,1945,1,2,1,1,2,2,2,1,2,2,1,2,2,1,54,1,12,2
1,1977,1,2,2,1,2,2,1,2,2,2,1,2,2,2,22,1,100,1
2,1936,1,2,1,1,2,2,1,2,2,2,2,2,2,1,63,0,91,1
2,1969,2,2,2,2,1,2,2,2,2,2,1,2,2,2,30,3,33,2
1,1950,2,2,2,1,2,2,1,2,2,2,2,2,2,2,49,3,13,1
1,1977,2,2,1,2,1,1,2,2,2,2,2,2,2,2,22,2,100,3
1,1954,2,2,2,1,2,2,2,1,1,2,1,2,2,1,45,1,31,1
1,1979,1,1,1,1,1,1,1,2,2,1,1,1,1,1,20,0,51,1
1,1954,1,2,2,2,2,2,2,2,2,2,2,2,2,2,45,1,100,1
1,1964,1,2,2,1,2,2,2,2,2,2,1,2,2,2,35,1,31,1
2,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,0,52,1
2,1967,1,2,2,1,2,2,2,2,2,1,1,2,2,2,32,3,34,2
2,1943,1,2,2,1,2,2,2,2,2,2,1,2,2,2,56,0,42,2
1,1963,2,1,2,2,2,2,2,1,1,2,1,2,2,2,36,1,82,1
1,1979,2,2,2,2,1,2,2,2,2,2,1,2,2,2,20,0,100,1
1,1980,2,2,2,2,2,2,1,2,2,2,1,1,2,2,19,0,100,2
1,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,55,3,51,1
2,1956,1,2,2,1,1,2,1,2,2,2,1,2,2,1,43,3,13,1
2,1963,1,1,2,1,2,2,1,1,1,2,1,2,2,1,36,3,52,1
1,1979,2,1,2,2,2,2,2,1,1,2,1,2,2,1,20,0,100,1
1,1964,1,1,1,2,2,1,1,1,1,2,1,2,2,1,35,1,71,2
1,1979,1,2,2,1,2,2,2,1,2,2,1,2,2,2,20,0,33,3
2,1946,2,2,2,2,2,2,2,2,2,2,1,2,2,2,53,3,61,1
2,1937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,0,100,1
2,1940,1,2,2,2,1,2,2,2,2,2,1,2,2,2,59,3,33,1
2,1964,1,2,2,2,1,2,2,2,2,2,1,2,2,2,35,3,32,1
1,1979,2,2,2,1,1,2,2,2,2,2,1,2,2,2,20,0,52,2
2,1978,2,2,2,1,1,2,1,2,2,2,1,2,2,2,21,3,33,2
1,1963,2,2,2,1,1,2,2,2,2,2,1,2,2,2,36,4,24,1
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,3,31,1
1,1950,2,2,2,2,2,1,1,2,2,2,2,2,2,2,49,4,34,2
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,4,23,2
2,1933,2,2,2,1,1,2,1,2,2,2,2,2,2,2,66,3,24,1
1,1961,2,2,2,1,1,2,2,2,2,2,1,2,2,1,38,1,51,1
1,1954,2,2,2,2,2,2,2,2,2,2,1,2,2,2,45,1,41,1
2,1970,1,2,2,1,2,2,2,2,2,2,1,2,2,1,29,2,34,2
2,1957,2,2,2,2,2,2,2,2,2,2,1,2,2,2,42,1,100,1
2,1955,2,2,1,2,2,2,2,2,2,1,2,2,2,2,44,3,100,1
2,1949,2,2,2,1,2,2,2,2,2,2,1,2,2,2,50,3,31,1
1,1967,2,2,2,1,1,2,2,2,2,2,1,2,2,2,32,3,51,2
2,1944,1,2,2,1,2,2,2,2,2,2,1,2,2,2,55,3,23,1
1,1937,1,2,2,2,2,2,2,2,2,2,1,2,2,2,62,3,71,1
1,1929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,2,52,1
2,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,0,51,1
1,1943,2,2,2,2,2,2,2,1,2,2,1,2,2,1,56,1,34,1
2,1946,2,2,2,2,2,2,2,2,2,2,1,2,2,2,53,0,91,1
2,1971,2,2,2,2,1,2,2,1,2,2,2,2,2,2,28,1,34,2
2,1956,2,2,2,2,1,2,2,2,2,2,1,2,2,2,43,1,73,1
1,1934,2,2,2,2,1,2,2,2,2,2,1,1,2,1,65,1,71,1
1,1936,2,2,2,1,2,2,2,2,2,2,1,2,2,2,63,3,12,1
1,1967,1,2,1,1,1,2,2,2,2,2,1,2,2,2,32,2,31,2
2,1959,1,2,2,2,2,2,2,2,2,2,1,2,2,2,40,1,51,1
1,1968,2,2,2,1,1,2,2,2,2,2,1,2,2,2,31,3,41,2
1,1976,1,2,2,2,1,2,1,1,2,2,1,2,2,2,23,3,51,3
1,1931,2,2,2,2,1,2,2,2,2,2,2,2,2,2,68,4,24,1
1,1963,2,2,2,2,2,2,2,1,2,2,2,2,2,1,36,2,13,1
2,1963,2,2,2,2,1,2,2,2,2,2,1,2,2,2,36,3,100,1
2,1951,2,2,2,1,2,2,1,2,2,2,1,2,2,2,48,3,51,1
1,1979,2,2,2,1,2,1,2,2,2,2,1,2,2,2,20,2,100,3
1,1959,2,2,2,1,1,2,1,2,2,2,1,2,2,2,40,4,21,2
2,1965,1,2,2,1,2,2,2,2,2,2,1,2,2,2,34,3,21,3
2,1947,2,2,2,1,2,2,2,2,2,2,1,2,2,2,52,0,100,1
2,1981,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,0,100,1
2,1959,2,2,2,1,1,2,2,2,2,2,2,2,2,2,40,4,100,1
1,1979,2,2,2,2,1,2,2,2,2,2,1,2,2,2,20,0,82,3
1,1981,2,2,2,1,2,2,2,1,2,2,1,2,2,2,18,0,100,1
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,1,13,1
2,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,3,33,1
1,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,0,41,2
2,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,3,33,1
2,1956,1,2,2,2,2,2,2,2,2,2,1,2,2,1,43,2,51,1
1,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,0,91,1
1,1967,2,2,2,2,2,2,2,2,2,2,1,2,2,2,32,0,51,3
1,1942,1,2,2,1,2,2,2,2,2,2,1,1,2,2,57,2,34,3
2,1967,1,2,2,1,2,2,2,2,2,2,1,2,2,2,32,1,12,1
1,1935,1,2,1,1,2,2,1,2,2,2,1,2,2,2,64,3,100,1
1,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,2,41,1
2,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,1,41,1
2,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,3,23,3
2,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,0,33,1
1,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,1,34,3
1,1950,2,2,2,1,2,2,2,2,2,2,1,2,2,1,49,1,41,1
2,1948,2,2,2,2,2,2,2,2,2,2,1,2,2,1,51,0,51,1
2,1960,1,2,2,1,2,2,2,2,2,2,1,2,2,2,39,3,31,1
2,1974,2,2,2,2,2,2,2,1,1,2,2,2,2,1,25,0,51,2
1,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46,0,82,1
1,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,0,82,1
2,1931,1,2,1,1,2,1,1,1,1,1,1,1,2,1,68,0,61,2
2,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,0,42,1
1,1938,2,2,2,2,1,2,2,2,2,2,2,2,2,2,61,3,91,1
1,1949,1,2,2,1,1,2,1,1,2,2,1,1,2,2,50,0,22,1
1,1942,2,1,2,2,2,2,2,1,1,2,1,1,2,2,57,0,71,1
2,1980,1,2,2,2,2,2,2,2,2,2,1,2,2,2,19,0,100,1
2,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,1,91,1
1,1966,2,2,2,2,2,2,2,2,2,2,1,2,2,2,33,1,74,2
1,1945,2,2,1,2,1,2,2,2,2,2,1,2,2,2,54,3,34,1
1,1949,2,2,2,2,2,2,1,2,2,2,1,2,2,2,50,3,13,1
1,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,0,91,2
2,1943,1,2,2,1,2,2,2,2,2,2,1,2,2,2,56,2,91,1
2,1974,1,2,2,2,2,2,2,2,2,2,1,2,2,2,25,1,52,1
2,1964,1,2,2,1,2,2,2,2,2,2,1,2,2,2,35,1,51,1
1,1944,2,2,2,1,2,2,2,1,1,2,1,1,2,2,55,0,93,1
2,1943,1,2,2,2,2,2,2,2,2,2,1,2,2,1,56,0,91,1
2,1944,1,2,2,1,2,2,2,1,2,1,1,2,2,1,55,0,41,1
2,1957,2,2,2,2,2,2,2,2,2,2,1,2,2,2,42,3,34,1
1,1945,1,1,2,1,2,2,1,1,1,1,1,1,1,1,54,1,41,1
2,1955,2,2,2,1,2,2,2,2,2,2,1,2,2,2,44,3,33,1
2,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,1,51,1
2,1949,2,2,2,1,2,2,2,2,2,2,2,2,2,2,50,4,51,1
2,1980,1,2,1,2,1,2,2,2,2,2,1,2,2,2,19,0,100,1
1,1950,2,2,1,2,1,2,2,2,2,2,1,2,2,2,49,1,13,1
2,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,3,31,3
2,1962,1,2,1,2,2,2,2,2,2,2,1,2,2,2,37,3,41,1
2,1965,2,2,2,1,2,2,2,2,2,2,1,2,2,1,34,3,51,1
2,1978,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,0,33,1
1,1967,1,1,1,1,1,2,2,1,1,2,1,2,1,1,32,1,71,2
1,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,3,12,1
2,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59,1,13,1
1,1951,2,2,2,2,2,2,2,2,2,2,1,2,2,2,48,0,13,1
2,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,43,4,12,1
2,1962,2,2,2,2,2,2,2,2,2,2,1,2,2,2,37,0,13,1
1,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,1,71,1
1,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,3,21,1
1,1975,1,2,2,1,1,2,2,2,2,2,1,2,2,2,24,0,52,1
2,1976,2,2,2,2,2,2,1,2,2,2,1,2,2,2,23,1,71,1
2,1957,1,2,2,1,2,2,2,2,1,2,1,2,2,2,42,3,34,2
1,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,63,0,13,2
1,1950,1,2,1,1,1,2,2,2,2,2,1,2,2,2,49,3,34,1
2,1979,1,2,2,1,2,1,1,1,2,2,1,2,2,1,20,0,100,1
2,1978,1,2,2,1,2,2,2,2,2,2,1,2,2,2,21,1,52,2
1,1937,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62,1,33,3
2,1952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47,3,33,1
1,1941,1,1,2,2,2,2,2,2,1,2,1,2,2,2,58,0,72,1
1,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,1,71,2
2,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,0,73,1
2,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,0,91,1
2,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,1,34,1
1,1941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58,1,13,1
2,1969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,3,23,1
2,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,37,3,91,1
2,1945,2,2,2,2,1,2,2,2,2,2,1,2,2,2,54,0,42,1
1,1939,2,2,2,2,1,2,2,2,2,2,1,2,2,2,60,1,91,1
1,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,43,1,91,1
1,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,3,12,1
1,1930,2,2,2,2,2,2,2,2,2,2,2,2,2,2,69,1,51,1
1,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,1,82,1
2,1963,2,2,2,2,1,2,2,2,2,2,2,2,2,2,36,1,51,1
2,1946,2,2,2,2,1,2,2,2,2,2,2,2,2,2,53,1,91,1
1,1933,2,2,2,2,2,2,2,2,2,2,2,2,2,2,66,0,82,1
1,1952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47,3,81,1
2,1957,2,2,2,2,1,2,2,2,2,2,1,2,2,2,42,0,51,1
1,1971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,0,1,2
2,1966,2,2,2,2,1,2,2,2,2,2,1,2,2,2,33,1,41,1
1,1973,2,2,2,1,2,2,2,2,2,2,1,2,2,1,26,1,52,2
1,1974,2,2,1,1,1,2,2,2,2,2,1,2,2,2,25,3,100,1
1,1934,2,2,2,2,2,2,2,1,2,2,1,2,2,2,65,0,91,1
2,1929,2,2,2,1,2,2,2,2,2,1,1,1,2,1,70,0,51,1
1,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,63,2,24,1
1,1949,1,1,1,1,1,2,1,1,1,1,1,1,1,1,50,1,71,1
1,1972,1,1,1,2,2,2,1,1,1,2,1,1,2,2,27,3,13,1
2,1975,2,2,2,2,2,2,1,2,2,2,1,2,2,2,24,4,100,2
1,1941,2,2,2,1,1,2,2,2,2,2,2,2,2,1,58,1,99,1
1,1978,1,2,2,2,2,2,2,2,2,2,1,2,2,2,21,1,61,1
2,1964,1,2,2,2,1,2,2,1,2,2,1,2,2,2,35,3,23,1
1,1942,1,2,2,2,2,2,2,2,2,2,2,2,2,2,57,0,83,1
2,1974,2,2,2,2,2,2,2,2,2,2,1,2,2,1,25,1,34,1
2,1933,2,2,2,2,2,2,1,2,2,2,2,2,2,2,66,0,51,1
1,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,3,12,1
1,1946,1,1,1,1,1,2,1,1,1,1,1,1,1,1,53,1,71,1
1,1932,1,2,2,1,2,2,2,2,2,1,1,1,2,2,67,0,83,1
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,3,13,1
1,1964,1,2,2,1,2,2,1,2,2,2,1,2,2,2,35,1,82,2
2,1942,2,2,2,2,2,2,1,2,2,2,1,2,2,2,57,0,91,1
2,1967,2,2,2,2,2,2,2,2,1,2,2,2,2,2,32,0,92,1
1,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,1,83,1
2,1936,1,2,2,2,2,2,2,2,2,2,1,2,2,2,63,2,34,1
2,1944,1,2,2,2,2,2,2,2,2,2,1,2,2,2,55,2,51,1
2,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,1,55,0,93,2
1,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,3,82,1
2,1952,1,2,2,1,2,2,2,2,2,2,1,2,2,2,47,3,23,1
2,1932,2,2,2,1,2,2,2,2,2,2,1,2,2,2,67,0,100,1
2,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,3,12,1
1,1954,1,2,2,2,2,2,2,2,2,2,1,2,2,2,45,1,34,1
1,1978,2,2,2,1,2,2,2,2,2,2,1,2,2,2,21,2,100,3
1,1967,1,2,2,2,2,2,1,2,2,2,1,2,2,2,32,1,71,1
1,1958,2,2,2,1,2,2,2,1,2,2,1,2,2,2,41,3,31,1
1,1978,1,2,1,2,2,2,2,2,2,2,1,2,2,2,21,0,100,1
1,1955,1,2,2,1,2,2,2,1,2,2,1,1,2,2,44,0,83,2
1,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,0,41,1
1,1974,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,0,93,3
1,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,3,12,1
1,1948,2,2,2,2,2,2,2,1,2,2,1,2,2,2,51,1,71,1
1,1978,1,1,2,2,2,2,2,2,2,2,2,2,2,2,21,1,74,1
2,1952,2,2,2,2,2,2,2,2,2,2,1,2,2,2,47,3,33,1
1,1946,2,2,1,2,1,2,1,1,1,2,1,2,2,2,53,1,83,1
1,1970,2,2,2,1,2,2,2,1,1,2,1,2,2,2,29,2,34,2
1,1953,1,2,2,1,2,2,2,1,2,2,1,2,2,1,46,1,13,1
2,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,3,33,1
2,1968,2,2,2,1,2,2,2,1,2,2,1,2,2,2,31,1,41,1
2,1930,2,2,2,2,2,2,2,2,2,2,2,2,2,2,69,1,91,1
2,1947,1,2,2,1,2,2,2,2,2,2,1,2,2,2,52,2,51,1
1,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,3,32,1
2,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,2,51,2
2,1958,1,2,2,2,1,2,2,2,2,2,2,2,2,2,41,2,34,1
1,1945,2,2,2,1,2,2,2,2,2,2,1,2,2,2,54,3,23,1
2,1979,1,1,2,2,2,2,2,1,1,2,1,2,2,2,20,0,51,1
1,1944,1,2,2,1,2,2,2,2,2,2,2,2,2,1,55,3,23,1
2,1967,2,2,2,2,2,2,2,2,2,2,1,2,2,2,32,3,100,1
2,1960,2,2,1,2,1,2,2,2,2,2,2,2,2,2,39,1,52,3
2,1945,2,2,2,1,2,2,2,1,2,2,1,2,2,1,54,3,12,1
1,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,1,12,1
1,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,55,0,13,1
2,1929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,2,51,1
2,1971,2,2,1,2,1,2,2,2,2,2,1,2,2,2,28,3,23,1
1,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,1,82,2
2,1976,1,2,2,1,1,2,1,2,2,2,2,2,2,2,23,2,51,1
1,1935,2,1,1,2,2,2,2,1,1,2,2,2,1,2,64,0,13,1
2,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,0,82,3
1,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,0,82,1
1,1964,2,2,2,1,2,2,2,2,2,2,1,2,2,2,35,0,81,1
2,1939,1,2,2,2,2,2,2,2,2,1,1,2,2,2,60,0,51,1
2,1977,2,2,2,2,2,2,2,2,2,2,1,2,2,2,22,2,51,1
2,1964,1,1,2,1,1,2,1,1,1,2,1,2,2,1,35,2,51,1
2,1964,1,2,2,2,1,2,1,2,2,2,2,2,2,2,35,2,61,2
1,1968,2,2,2,1,2,2,2,2,2,2,1,2,2,1,31,3,31,2
2,1933,1,2,2,2,1,2,2,2,2,2,1,2,2,1,66,3,41,3
1,1952,2,2,2,2,1,2,2,2,2,2,1,2,2,2,47,3,41,1
1,1980,2,2,1,2,2,2,2,2,2,2,1,2,2,2,19,0,52,2
2,1964,1,2,2,1,1,2,2,2,2,2,1,2,2,2,35,3,12,1
1,1956,1,2,2,2,1,2,2,2,2,2,1,2,2,2,43,4,22,1
1,1950,1,2,2,1,1,2,2,2,2,2,1,2,2,2,49,0,31,1
2,1974,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,0,51,1
1,1976,2,2,2,1,1,2,2,2,2,2,1,2,2,2,23,4,100,2
1,1960,2,2,2,2,1,2,2,2,2,2,2,2,2,2,39,3,100,1
2,1976,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,0,33,1
1,1976,2,2,2,2,2,2,1,2,2,2,2,2,2,2,23,4,100,3
1,1975,2,2,2,2,2,2,2,2,2,2,1,2,2,2,24,4,100,2
1,1948,2,2,2,1,2,2,2,2,2,2,1,2,2,2,51,3,51,2
1,1962,2,2,2,2,2,2,1,2,2,2,1,2,2,2,37,0,34,1
2,1975,2,2,2,1,2,2,2,2,2,2,1,2,2,2,24,3,51,1
2,1951,1,2,2,2,2,2,2,2,2,1,1,1,2,2,48,0,100,1
2,1972,2,2,2,2,2,2,2,2,2,2,1,2,2,2,27,1,51,1
2,1975,1,2,2,1,2,2,1,2,2,2,1,2,2,2,24,1,100,2
2,1952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47,3,100,1
2,1956,1,2,2,1,1,2,2,1,1,2,1,2,2,2,43,2,34,1
2,1946,1,2,2,2,2,2,2,2,2,2,2,2,2,2,53,1,13,1
2,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,0,51,1
