v7,v8,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,bald,iperhver,ipisco,troende
2,1958,2,2,2,2,2,2,2,2,2,2,1,2,2,2,41,4,100,1
1,1961,1,2,2,2,2,2,2,2,2,2,1,2,2,2,38,4,32,1
1,1951,1,2,2,1,2,2,2,2,2,2,1,2,2,2,48,1,34,2
2,1967,2,2,2,1,2,2,2,1,2,2,1,2,2,1,32,1,61,1
2,1969,1,2,2,2,1,2,2,2,2,2,1,2,2,2,30,0,41,1
2,1958,2,2,2,1,2,2,2,1,2,2,1,2,2,2,41,1,100,1
2,1954,1,2,2,1,1,2,2,2,2,2,1,2,2,1,45,4,12,1
1,1964,1,2,2,1,2,2,1,2,2,1,1,2,2,2,35,4,31,1
1,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,1,12,1
1,1942,1,2,2,1,2,2,2,2,2,2,1,2,2,2,57,1,23,1
2,1969,2,2,2,2,2,2,1,2,2,2,1,2,2,2,30,2,34,1
1,1934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,65,0,83,1
2,1971,1,2,2,2,2,2,1,2,2,2,1,2,2,2,28,2,51,1
2,1945,1,2,2,2,2,2,2,2,2,2,1,2,2,2,54,3,32,1
1,1947,1,2,2,1,2,2,2,2,2,2,1,2,2,2,52,3,21,1
1,1941,1,2,2,2,2,2,1,1,2,1,1,1,2,2,58,1,13,1
2,1934,1,2,2,1,2,2,2,2,2,2,1,2,2,2,65,2,51,1
1,1974,2,2,2,1,2,2,2,1,2,2,2,2,2,2,25,1,81,2
1,1961,1,2,2,1,1,2,2,2,2,2,2,2,2,2,38,1,71,1
2,1969,2,2,2,1,2,2,2,1,1,1,1,2,2,1,30,2,100,1
1,1962,2,2,2,2,2,2,2,2,2,2,1,2,2,2,37,1,91,1
2,1948,2,2,2,1,1,2,2,2,2,2,1,2,2,2,51,0,51,1
1,1942,1,2,2,2,2,2,2,2,2,2,2,2,2,1,57,1,74,1
1,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,1,13,1
1,1968,2,2,2,2,2,2,2,2,2,2,1,2,2,1,31,1,71,1
2,1970,2,2,2,2,2,2,1,2,2,2,1,2,2,2,29,0,33,3
1,1938,2,2,1,2,1,2,1,2,2,2,1,2,2,2,61,2,12,2
1,1964,2,2,2,1,2,2,2,2,2,2,1,2,2,2,35,1,13,1
2,1971,2,2,2,1,2,2,1,2,2,2,1,2,2,2,28,3,100,1
1,1978,2,2,2,1,2,2,1,2,2,2,1,1,2,1,21,0,100,1
2,1963,1,2,2,1,2,2,1,2,2,2,1,2,2,2,36,1,51,1
2,1951,1,2,2,1,2,2,1,2,1,2,1,2,2,2,48,0,51,1
1,1971,2,2,2,1,2,2,2,2,2,2,1,2,2,2,28,3,41,2
1,1961,1,2,2,1,2,2,2,1,2,2,1,2,2,2,38,1,13,1
2,1975,2,2,2,2,1,2,2,2,2,2,1,2,2,2,24,2,52,1
2,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,3,12,1
1,1969,2,2,2,2,2,2,2,2,2,2,1,2,2,2,30,1,13,1
1,1945,2,2,2,1,2,2,2,2,2,2,1,1,2,2,54,3,21,3
2,1953,1,2,2,2,2,2,2,2,2,2,1,2,2,2,46,0,51,1
2,1931,2,2,2,2,2,2,2,2,2,2,2,2,2,2,68,3,23,1
1,1935,2,2,2,1,2,2,1,2,2,2,2,2,2,2,64,3,12,1
1,1964,2,2,2,2,2,1,2,2,2,2,2,2,2,2,35,0,82,1
1,1980,1,1,1,1,1,2,1,1,1,2,1,2,2,2,19,0,100,2
1,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,3,82,3
2,1939,1,1,2,1,2,2,1,1,2,2,1,1,2,1,60,0,100,1
1,1948,2,2,2,2,2,2,2,1,2,2,1,2,2,2,51,3,71,1
2,1952,1,2,2,1,2,2,2,2,2,1,1,2,2,2,47,1,41,1
1,1974,2,2,2,2,2,2,2,2,2,2,1,2,2,2,25,0,81,1
1,1962,2,2,1,2,2,2,2,1,2,2,2,2,2,2,37,1,41,2
2,1950,2,2,2,1,2,2,2,2,2,2,1,2,2,1,49,3,12,1
2,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,3,32,1
2,1948,1,2,2,2,2,2,2,2,2,2,1,2,2,1,51,2,51,1
2,1973,2,2,2,2,2,2,2,2,2,2,1,2,2,2,26,4,100,1
1,1960,2,2,2,1,2,2,2,2,2,2,1,2,2,2,39,4,24,1
2,1941,2,2,2,1,2,2,2,1,2,2,1,2,2,2,58,0,91,1
1,1933,1,2,2,1,2,2,1,1,2,2,1,1,2,2,66,1,72,1
2,1957,2,2,2,2,2,2,1,2,2,2,1,2,2,2,42,3,12,1
1,1960,2,2,2,2,2,2,1,2,2,2,1,2,2,2,39,1,34,1
1,1939,2,2,2,2,2,2,2,2,2,2,1,2,2,2,60,1,34,1
2,1964,2,2,2,2,2,2,2,2,2,2,1,2,2,2,35,0,21,2
1,1958,2,2,2,1,2,2,1,2,2,2,1,2,2,1,41,0,41,1
2,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,0,51,1
1,1963,2,2,2,2,2,2,2,2,2,2,1,2,2,1,36,0,13,1
1,1934,1,1,1,1,2,2,2,1,1,2,1,1,2,1,65,1,12,1
2,1929,2,2,2,2,2,2,2,1,1,2,1,1,2,2,70,0,51,1
2,1980,2,2,2,2,2,2,2,2,2,2,1,2,2,2,19,1,51,1
1,1949,2,2,2,2,2,2,2,2,2,2,1,2,2,2,50,3,82,2
1,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,1,73,1
1,1971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,0,100,1
1,1966,1,2,2,2,1,2,2,2,2,2,2,2,2,2,33,1,61,2
1,1964,1,2,2,2,2,2,2,2,2,2,1,2,2,1,35,3,12,1
2,1979,1,2,2,2,1,2,2,2,2,2,2,2,2,2,20,0,51,2
2,1967,2,2,1,2,1,2,1,2,2,2,1,2,2,2,32,3,41,1
1,1948,2,2,2,2,1,2,2,2,2,2,1,2,2,2,51,1,82,1
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,0,13,1
2,1941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58,0,93,1
1,1970,1,2,2,2,2,2,2,1,2,2,1,2,2,2,29,3,24,1
1,1953,1,2,2,1,2,2,2,2,2,2,1,2,2,2,46,4,22,1
2,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,0,82,2
1,1961,2,2,2,1,2,2,1,1,2,2,1,1,2,1,38,1,51,1
1,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,3,42,1
1,1969,2,2,2,2,2,2,2,2,2,2,1,2,2,2,30,1,34,1
1,1957,2,2,2,1,2,2,2,2,2,2,1,2,2,2,42,1,82,2
2,1946,1,2,2,2,1,2,2,2,2,2,1,2,2,1,53,0,100,1
1,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,3,34,1
2,1966,2,2,2,1,2,2,1,2,2,2,1,2,2,2,33,3,100,1
1,1948,2,2,2,2,1,2,2,2,2,2,2,2,2,2,51,1,33,1
1,1967,1,2,2,2,2,2,2,2,2,2,1,2,2,2,32,0,82,1
1,1941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,58,1,61,1
2,1964,2,2,2,2,2,2,2,2,2,2,1,2,2,2,35,1,93,1
2,1933,2,2,2,2,2,1,2,2,2,2,2,2,2,2,66,3,32,1
1,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,4,24,3
2,1958,2,1,1,1,2,2,2,1,1,1,1,2,2,1,41,1,41,1
1,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,1,24,1
1,1950,2,2,2,2,2,2,2,2,2,2,1,2,2,2,49,1,31,1
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,0,82,1
2,1940,2,2,2,2,2,2,2,2,2,2,1,2,2,2,59,2,100,1
2,1950,1,2,2,1,1,1,1,2,2,1,1,2,2,2,49,0,72,1
1,1971,1,1,2,2,1,2,2,1,2,2,1,1,1,2,28,1,72,1
2,1970,2,2,2,1,1,2,2,2,2,2,1,2,2,2,29,3,41,1
2,1961,1,2,2,2,2,2,1,2,2,2,1,2,2,2,38,3,23,1
1,1937,2,2,1,1,1,2,2,2,2,2,1,2,2,1,62,3,34,1
1,1958,2,2,2,2,2,2,2,1,2,2,1,2,2,2,41,3,72,1
1,1936,1,2,1,1,2,2,1,2,1,2,2,2,2,2,63,0,83,1
2,1961,1,2,2,2,1,2,2,2,2,2,1,2,2,2,38,3,33,1
2,1960,1,2,2,1,2,2,2,2,2,2,1,2,2,2,39,3,33,1
1,1934,2,2,1,2,1,2,2,2,2,2,1,2,2,2,65,1,93,1
2,1973,1,2,2,1,1,2,2,1,2,2,1,2,1,2,26,0,52,2
2,1979,1,2,2,1,2,2,2,2,2,2,1,2,2,2,20,0,33,1
2,1961,1,2,2,1,1,2,1,2,2,2,1,2,2,2,38,1,41,1
2,1965,2,2,1,2,2,2,2,2,2,2,1,2,2,2,34,3,23,1
1,1935,1,2,2,2,2,2,2,1,2,2,2,2,2,2,64,0,51,2
1,1934,2,1,2,1,2,2,2,1,1,2,1,2,2,1,65,2,34,1
1,1971,1,2,1,2,1,2,2,2,2,2,1,2,2,2,28,2,24,1
2,1960,2,2,2,2,2,2,2,2,2,2,1,2,2,1,39,1,34,1
1,1943,1,2,2,1,2,2,2,1,1,2,1,2,2,2,56,1,91,1
2,1941,2,2,2,1,2,2,2,2,2,2,1,2,2,2,58,3,100,2
1,1966,2,2,2,2,2,2,2,2,2,2,1,2,2,2,33,3,82,2
1,1940,2,2,2,1,2,2,2,2,2,2,1,2,2,2,59,1,72,1
1,1955,1,2,2,2,2,2,2,2,2,2,1,2,2,2,44,1,71,1
2,1961,2,2,2,2,1,2,2,2,2,2,1,2,2,2,38,3,51,1
2,1974,1,2,2,1,2,2,2,2,2,2,1,2,2,2,25,2,52,3
1,1957,2,2,2,1,2,2,2,2,2,2,1,2,2,2,42,3,51,3
1,1969,2,1,2,1,2,2,1,2,2,2,1,2,2,1,30,1,71,1
1,1954,2,2,2,2,1,2,2,2,2,2,1,2,2,2,45,1,81,1
2,1950,1,1,2,1,2,2,1,1,1,2,1,2,1,1,49,2,51,1
2,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59,2,51,1
1,1957,2,2,2,1,2,2,2,1,2,2,1,2,2,2,42,1,12,3
2,1971,2,2,2,2,2,2,1,2,2,2,1,2,2,2,28,4,23,2
2,1973,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,4,100,3
2,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,4,21,1
1,1977,2,2,2,2,1,2,2,2,2,2,2,2,2,2,22,0,100,2
1,1950,2,2,2,1,2,2,1,2,2,2,1,2,2,2,49,2,93,1
1,1971,2,2,1,2,2,2,2,2,2,2,2,2,2,2,28,2,52,2
2,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,3,100,1
1,1945,2,2,1,2,1,2,2,1,2,2,2,2,2,1,54,2,12,1
1,1960,2,2,2,2,2,2,2,2,2,2,1,2,2,2,39,3,72,3
2,1973,1,2,2,2,2,2,2,2,2,2,2,2,2,2,26,1,71,1
1,1941,1,2,2,1,2,2,1,2,2,2,1,1,2,2,58,1,13,1
2,1945,1,2,2,2,2,2,2,2,1,2,1,1,2,2,54,1,41,1
1,1951,2,2,2,2,2,2,2,2,2,2,1,2,2,2,48,0,82,1
2,1959,1,2,2,2,2,2,2,2,2,2,1,2,2,1,40,1,52,1
2,1948,1,2,2,2,2,2,2,2,2,2,1,2,2,2,51,3,23,1
1,1947,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,1,12,1
1,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,1,91,1
1,1938,2,2,2,2,1,2,2,2,2,2,2,2,2,2,61,3,13,1
2,1963,2,2,2,1,2,2,2,2,2,2,1,2,2,2,36,2,51,1
2,1965,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,2,51,1
2,1943,1,2,2,2,2,2,2,2,2,2,1,2,2,1,56,3,32,1
2,1976,2,2,2,1,2,2,2,2,2,2,1,2,2,2,23,0,82,1
1,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,1,34,2
1,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,1,61,2
2,1972,2,2,2,1,2,2,2,1,2,2,1,2,2,2,27,0,13,1
1,1966,2,2,2,1,2,2,2,2,2,2,1,2,2,2,33,4,24,1
2,1962,2,2,2,1,2,2,2,2,2,2,2,2,2,2,37,1,52,1
1,1947,1,2,2,1,2,2,2,2,2,2,1,2,2,2,52,1,72,1
1,1980,2,2,2,2,2,2,2,2,2,1,1,2,2,2,19,0,82,1
2,1944,1,2,2,2,2,2,2,2,2,2,2,2,2,2,55,0,51,1
1,1950,2,2,2,2,2,2,2,2,2,2,1,2,2,2,49,0,83,1
1,1950,1,2,2,2,2,2,2,2,2,2,2,2,2,2,49,1,93,1
2,1960,1,2,2,2,2,2,2,2,2,2,2,2,2,2,39,1,51,1
2,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,2,100,1
1,1939,1,2,2,1,2,2,2,2,2,2,1,1,2,2,60,4,22,1
2,1969,1,2,2,1,2,2,1,2,2,2,1,2,2,2,30,1,41,1
2,1957,2,2,2,2,2,2,2,1,1,2,1,2,2,2,42,0,91,2
2,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,0,100,1
2,1939,2,2,2,2,2,2,2,2,2,2,2,2,2,2,60,0,82,1
2,1969,2,2,2,2,2,2,2,2,1,2,2,2,2,2,30,1,31,1
1,1980,1,2,2,2,2,2,2,2,2,2,1,2,2,2,19,0,100,3
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,3,32,1
1,1930,2,2,2,2,2,2,2,2,2,2,1,2,2,2,69,0,93,1
2,1981,1,2,2,1,2,2,2,2,2,2,1,2,2,2,18,2,100,1
1,1946,2,2,1,2,2,2,2,2,2,1,2,2,2,2,53,1,12,1
1,1961,1,2,2,1,2,2,2,2,2,2,1,2,2,2,38,3,12,2
2,1969,1,2,2,1,2,2,2,2,2,2,1,2,2,2,30,0,33,1
2,1968,2,2,2,1,2,2,1,2,2,2,1,2,2,2,31,1,13,1
1,1933,2,2,2,1,2,2,2,1,2,1,1,1,2,2,66,1,82,1
2,1965,1,2,2,2,2,2,1,1,2,2,2,2,2,2,34,3,13,1
2,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,2,51,1
1,1975,1,2,2,2,2,2,2,2,2,2,1,2,2,2,24,1,41,1
1,1929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,1,74,1
2,1927,2,2,2,2,2,2,2,2,1,2,2,2,2,2,72,3,51,1
2,1909,2,2,2,2,2,2,2,2,2,2,2,2,2,1,90,1,74,2
2,1920,2,2,2,2,2,1,1,1,2,2,1,2,2,2,79,0,51,1
1,1925,2,2,2,2,1,2,2,2,2,2,1,2,2,2,74,3,23,1
2,1908,1,2,2,1,2,2,1,2,2,2,1,2,2,2,91,1,34,1
1,1917,2,2,2,2,2,2,2,2,2,2,2,2,2,2,82,4,22,1
2,1919,1,2,2,2,2,2,2,2,2,2,2,2,2,2,80,0,31,1
2,1911,1,2,2,1,2,2,1,2,2,2,1,2,2,2,88,1,41,1
1,1919,1,1,1,1,1,1,1,1,1,1,1,1,2,1,80,2,13,1
2,1921,2,2,1,1,2,2,2,1,1,2,2,2,2,2,78,0,100,1
1,1927,2,2,2,2,2,2,2,2,2,2,1,2,2,2,72,0,83,1
1,1911,1,1,1,1,2,1,2,1,1,1,1,1,1,2,88,4,12,1
2,1928,1,2,2,2,2,2,2,2,2,2,2,2,2,2,71,0,100,1
2,1922,2,2,2,2,2,2,2,1,2,2,1,1,2,2,77,1,41,1
2,1910,2,2,2,2,2,2,2,2,2,2,1,2,2,2,89,0,41,1
1,1914,1,1,1,1,1,2,1,1,1,1,1,1,2,1,85,4,24,2
2,1917,1,2,2,1,1,2,2,2,2,2,2,2,2,2,82,1,12,1
2,1910,2,2,2,2,2,2,2,2,2,2,2,2,2,2,89,1,52,1
2,1923,1,1,2,2,2,2,1,1,2,2,2,2,2,2,76,3,100,1
1,1927,1,2,2,1,2,2,2,2,2,1,1,2,2,1,72,4,11,1
2,1928,2,2,2,2,2,2,2,2,2,2,2,2,2,2,71,4,13,1
1,1925,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74,1,71,1
1,1925,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74,1,41,1
2,1920,2,2,2,2,2,2,2,2,2,2,2,2,2,2,79,0,82,1
2,1910,2,2,2,2,2,2,2,2,2,2,1,1,2,2,89,0,100,1
1,1924,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,0,83,1
2,1918,2,2,2,2,2,2,2,2,2,1,2,2,2,2,81,3,23,1
1,1912,2,2,2,2,2,2,2,2,2,2,2,2,2,2,87,0,13,1
1,1928,1,1,2,1,2,2,2,1,2,2,1,1,1,1,71,0,92,1
1,1920,2,2,2,2,1,2,2,2,2,2,2,2,2,1,79,1,81,1
2,1922,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77,1,73,1
1,1927,2,2,2,2,1,2,2,2,2,2,1,2,2,2,72,1,31,1
2,1910,1,1,2,1,1,2,1,1,1,1,1,1,1,1,89,0,51,1
2,1917,2,2,2,1,1,1,1,2,2,2,1,2,2,2,82,1,74,1
2,1916,1,2,2,2,2,2,2,2,2,2,1,2,2,1,83,0,51,1
2,1920,2,1,2,2,2,2,2,1,1,2,2,2,2,2,79,0,91,1
1,1926,1,2,2,1,2,2,2,2,2,2,1,2,2,2,73,1,12,1
1,1926,1,2,2,2,2,2,2,2,1,2,2,2,2,2,73,0,82,1
1,1911,2,2,2,2,2,2,2,2,2,2,2,2,2,2,88,0,82,1
2,1911,1,2,2,2,2,2,2,2,2,2,2,2,2,2,88,0,91,1
2,1925,2,2,2,2,2,2,2,1,2,2,1,2,2,2,74,0,41,1
1,1911,1,2,1,2,1,2,2,2,2,2,2,2,2,2,88,4,24,1
1,1917,2,2,2,2,2,2,2,2,2,2,2,2,2,2,82,3,51,1
2,1928,2,2,2,2,2,2,2,2,2,2,2,2,2,2,71,1,41,1
2,1921,2,2,2,2,2,2,2,2,1,2,1,2,2,2,78,1,41,1
2,1927,2,2,2,2,2,2,2,2,2,2,2,2,2,2,72,1,11,1
1,1928,1,2,2,2,2,2,2,2,2,2,1,1,2,2,71,0,23,1
2,1917,1,2,2,2,2,2,2,2,2,2,1,2,2,2,82,0,13,1
1,1926,1,2,2,2,2,2,2,2,2,2,1,2,2,1,73,0,91,1
1,1919,2,2,2,2,1,2,2,2,2,2,1,2,2,2,80,3,51,2
1,1923,2,2,1,2,2,2,2,2,2,2,2,2,2,2,76,0,13,1
1,1923,1,2,2,1,2,2,2,1,2,2,1,1,2,2,76,1,71,1
1,1921,2,2,2,1,1,2,2,2,2,2,1,2,2,2,78,0,13,1
2,1923,1,2,2,1,2,2,2,2,2,2,2,2,2,2,76,0,92,1
2,1924,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75,1,13,1
2,1922,2,2,2,1,2,2,2,2,2,2,1,2,2,2,77,0,91,1
2,1926,1,2,1,1,1,2,2,1,2,1,1,1,2,1,73,0,51,1
2,1922,2,2,2,1,2,2,2,1,1,2,1,2,2,1,77,0,52,1
2,1912,2,2,2,2,2,2,2,2,2,2,2,2,2,2,87,3,23,1
2,1929,2,2,2,2,2,2,1,2,2,2,2,2,2,2,70,0,24,1
1,1919,1,1,2,1,2,1,2,1,1,1,1,1,2,2,80,0,13,1
1,1925,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74,0,13,1
2,1925,1,2,2,1,2,2,2,1,2,1,1,1,2,2,74,0,100,1
2,1924,1,2,2,2,2,2,2,2,2,2,1,2,2,2,75,3,32,1
1,1922,1,1,2,2,2,2,2,1,2,2,1,1,2,2,77,1,71,2
1,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,3,21,2
2,1980,2,2,2,2,2,2,2,2,2,2,2,2,2,2,19,0,34,1
2,1974,2,2,2,2,2,2,2,2,2,2,1,2,2,2,25,3,100,2
2,1943,1,2,1,1,1,1,2,1,1,2,1,2,2,1,56,0,100,1
2,1968,2,2,2,2,2,2,2,2,2,2,1,2,2,2,31,4,22,1
1,1940,1,1,2,1,2,1,2,1,1,2,1,2,2,1,59,3,23,2
1,1952,2,2,2,2,1,2,2,2,2,2,2,2,2,2,47,3,34,1
2,1965,2,2,2,2,1,2,2,2,2,2,1,2,2,2,34,4,34,1
2,1954,2,2,2,1,2,2,2,2,2,2,2,2,2,2,45,2,100,1
1,1970,2,2,1,1,1,2,2,2,2,2,1,2,2,2,29,3,31,2
2,1972,2,2,2,2,1,2,2,2,2,2,2,2,2,2,27,3,24,1
2,1972,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27,4,100,1
2,1958,2,2,2,1,2,2,2,2,2,2,1,2,2,1,41,3,12,1
2,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,3,31,1
1,1971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,1,100,1
2,1950,2,2,2,2,2,1,2,2,1,2,2,2,2,1,49,3,42,1
1,1972,2,2,1,1,1,1,2,2,2,2,1,2,2,1,27,3,51,2
1,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,0,100,2
1,1969,2,2,2,1,1,2,2,2,2,2,1,2,2,1,30,1,41,1
2,1913,2,2,2,2,2,2,2,2,2,2,2,2,2,2,86,1,91,1
1,1978,2,2,2,2,2,2,1,2,2,2,2,2,2,2,21,0,100,1
1,1937,2,2,2,2,2,2,2,2,2,2,2,2,2,2,62,0,13,3
2,1975,2,2,2,1,2,1,2,2,2,2,1,2,2,2,24,4,100,1
1,1950,2,2,2,1,2,2,2,2,2,2,2,2,2,2,49,4,24,2
2,1948,2,2,2,2,2,2,2,2,2,2,1,2,2,2,51,4,23,2
2,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46,1,51,2
1,1963,2,2,2,1,2,2,1,2,2,2,1,2,2,2,36,0,51,1
2,1975,2,2,2,2,1,2,2,2,2,2,1,2,2,2,24,3,33,1
2,1927,1,2,2,2,2,2,1,2,2,2,1,2,2,2,72,1,42,1
1,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,3,12,2
1,1964,2,2,2,2,1,2,2,2,2,2,2,2,2,2,35,4,61,2
1,1976,2,2,2,2,2,2,2,1,2,1,1,1,2,1,23,0,51,1
2,1978,1,2,2,1,2,2,2,2,2,2,1,2,2,2,21,4,100,1
1,1979,2,2,2,2,1,2,2,2,2,2,1,2,2,2,20,4,91,1
1,1957,2,2,2,1,2,2,2,2,2,2,1,2,2,2,42,0,24,1
2,1951,1,2,1,1,2,2,1,2,2,2,1,2,2,2,48,3,34,1
2,1962,1,2,2,1,2,2,2,2,2,2,1,2,2,2,37,4,51,1
2,1967,2,2,2,1,2,2,2,2,2,2,1,2,2,2,32,3,41,1
2,1973,2,2,2,2,2,2,2,2,2,2,1,2,2,2,26,3,100,1
1,1974,2,2,2,2,2,2,2,2,2,2,1,2,2,2,25,4,100,2
1,1976,2,2,2,2,2,2,2,2,1,2,1,2,2,2,23,3,51,1
1,1951,1,2,2,2,2,2,2,2,2,2,1,2,2,1,48,4,21,2
2,1958,2,2,2,2,1,2,2,2,2,2,2,2,2,2,41,3,32,1
2,1923,2,2,2,2,1,2,2,2,2,2,2,2,2,2,76,2,41,2
2,1966,1,2,2,1,2,2,2,2,2,2,1,2,2,2,33,1,41,1
1,1942,1,2,2,1,2,2,2,2,2,2,2,2,2,1,57,1,74,1
2,1957,2,2,2,2,2,2,2,2,2,2,1,2,2,2,42,1,34,1
1,1958,2,2,2,1,2,2,1,2,2,2,1,2,2,2,41,1,52,1
2,1970,2,2,2,2,2,2,1,2,2,2,1,2,2,2,29,2,100,1
2,1907,2,2,2,2,2,2,2,2,2,2,2,2,2,2,92,3,100,1
2,1931,1,2,2,2,1,2,2,2,2,2,1,2,2,2,68,1,34,1
1,1914,1,2,1,1,2,2,1,1,2,1,1,1,2,2,85,1,74,1
2,1941,2,2,2,1,2,2,2,1,2,2,1,2,2,2,58,3,12,1
1,1964,1,2,2,2,1,2,1,2,2,2,1,2,2,2,35,4,12,2
2,1973,2,2,1,2,1,2,2,2,2,2,1,2,2,2,26,3,33,1
2,1974,1,2,2,2,2,2,2,2,1,2,1,2,2,2,25,1,42,2
2,1928,1,2,2,1,2,2,2,2,2,1,1,2,2,1,71,0,52,1
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,0,91,1
1,1980,2,2,1,2,1,2,2,2,2,2,2,2,2,2,19,1,71,2
2,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,3,31,1
1,1951,2,2,2,2,2,2,1,2,2,2,2,2,2,2,48,0,71,2
1,1958,1,1,2,1,2,2,2,2,2,2,1,2,2,2,41,1,71,2
1,1953,2,2,2,1,1,2,2,2,2,2,2,2,2,2,46,4,24,1
2,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,2,33,1
2,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,44,3,13,1
1,1978,2,2,2,2,2,2,2,2,2,2,1,2,2,2,21,1,74,2
1,1974,2,1,2,2,2,2,2,1,1,2,1,1,1,1,25,1,82,1
